Grupo 1,Grupo 2,Grupo 3,Grupo 4,Grupo 5
2RY004036,2RY004036,2RY004036,2RY004036,2RY004036
2RY004037,2RY004037,2RY004037,2RY004037,2RY004037
2RY004038,2RY004038,2RY004038,2RY004038,2RY004038
2RY004039,2RY004039,2RY004039,2RY004039,2RY004039
2RY004040,2RY004040,2RY004040,2RY004040,2RY004040
2RY004041,2RY004041,2RY004041,2RY004041,2RY004041
2RY004042,2RY004042,2RY004042,2RY004042,2RY004042
2RY004043,2RY004043,2RY004043,2RY004043,2RY004043
2RY004044,2RY004044,2RY004044,2RY004044,2RY004044
2RY005001,2RY005001,2RY005001,2RY005001,2RY005001
2RY005002,2RY005002,2RY005002,2RY005002,2RY005002
2RY005003,2RY005003,2RY005003,2RY005003,2RY005003
2RY005004,2RY005004,2RY005004,2RY005004,2RY005004
2RY005005,2RY005005,2RY005005,2RY005005,2RY005005
2RY005006,2RY005006,2RY005006,2RY005006,2RY005006
2RY005007,2RY005007,2RY005007,2RY005007,2RY005007
2RY005008,2RY005008,2RY005008,2RY005008,2RY005008
2RY005009,2RY005009,2RY005009,2RY005009,2RY005009
2RY005010,2RY005010,2RY005010,2RY005010,2RY005010
2RY005011,2RY005011,2RY005011,2RY005011,2RY005011
2RY005012,2RY005012,2RY005012,2RY005012,2RY005012
2RY005013,2RY005013,2RY005013,2RY005013,2RY005013
2RY005014,2RY005014,2RY005014,2RY005014,2RY005014
2RY005015,2RY005015,2RY005015,2RY005015,2RY005015
2RY005016,2RY005016,2RY005016,2RY005016,2RY005016
2RY005017,2RY005017,2RY005017,2RY005017,2RY005017
2RY005018,2RY005018,2RY005018,2RY005018,2RY005018
2RY005019,2RY005019,2RY005019,2RY005019,2RY005019
2RY005020,2RY005020,2RY005020,2RY005020,2RY005020
2RY005021,2RY005021,2RY005021,2RY005021,2RY005021
2RY005022,2RY005022,2RY005022,2RY005022,2RY005022
2RY005023,2RY005023,2RY005023,2RY005023,2RY005023
2RY005024,2RY005024,2RY005024,2RY005024,2RY005024
2RY005025,2RY005025,2RY005025,2RY005025,2RY005025
2RY005026,2RY005026,2RY005026,2RY005026,2RY005026
2RY005027,2RY005027,2RY005027,2RY005027,2RY005027
2RY006001,2RY006001,2RY006001,2RY006001,2RY006001
2RY006002,2RY006002,2RY006002,2RY006002,2RY006002
2RY006003,2RY006003,2RY006003,2RY006003,2RY006003
2RY006004,2RY006004,2RY006004,2RY006004,2RY006004
2RY006005,2RY006005,2RY006005,2RY006005,2RY006005
2RY006006,2RY006006,2RY006006,2RY006006,2RY006006
2RY006007,2RY006007,2RY006007,2RY006007,2RY006007
2RY006008,2RY006008,2RY006008,2RY006008,2RY006008
2RY006009,2RY006009,2RY006009,2RY006009,2RY006009
2RY006010,2RY006010,2RY006010,2RY006010,2RY006010
2RY006011,2RY006011,2RY006011,2RY006011,2RY006011
2RY006012,2RY006012,2RY006012,2RY006012,2RY006012
2RY006013,2RY006013,2RY006013,2RY006013,2RY006013
2RY006014,2RY006014,2RY006014,2RY006014,2RY006014
2RY006015,2RY006015,2RY006015,2RY006015,2RY006015
2RY006016,2RY006016,2RY006016,2RY006016,2RY006016
2RY006017,2RY006017,2RY006017,2RY006017,2RY006017
2RY006018,2RY006018,2RY006018,2RY006018,2RY006018
2RY006019,2RY006019,2RY006019,2RY006019,2RY006019
2RY006020,2RY006020,2RY006020,2RY006020,2RY006020
2RY006021,2RY006021,2RY006021,2RY006021,2RY006021
2RY006022,2RY006022,2RY006022,2RY006022,2RY006022
2RY006023,2RY006023,2RY006023,2RY006023,2RY006023
2RY006024,2RY006024,2RY006024,2RY006024,2RY006024
2RY006025,2RY006025,2RY006025,2RY006025,2RY006025
2RY006026,2RY006026,2RY006026,2RY006026,2RY006026
2RY006027,2RY006027,2RY006027,2RY006027,2RY006027
2RY006028,2RY006028,2RY006028,2RY006028,2RY006028
2RY006029,2RY006029,2RY006029,2RY006029,2RY006029
2RY006030,2RY006030,2RY006030,2RY006030,2RY006030
2RY006031,2RY006031,2RY006031,2RY006031,2RY006031
2RY006032,2RY006032,2RY006032,2RY006032,2RY006032
2RY006033,2RY006033,2RY006033,2RY006033,2RY006033
2RY007001,2RY007001,2RY007001,2RY007001,2RY007001
2RY007002,2RY007002,2RY007002,2RY007002,2RY007002
2RY007003,2RY007003,2RY007003,2RY007003,2RY007003
2RY007004,2RY007004,2RY007004,2RY007004,2RY007004
2RY007005,2RY007005,2RY007005,2RY007005,2RY007005
2RY007006,2RY007006,2RY007006,2RY007006,2RY007006
2RY007007,2RY007007,2RY007007,2RY007007,2RY007007
2RY007008,2RY007008,2RY007008,2RY007008,2RY007008
2RY007009,2RY007009,2RY007009,2RY007009,2RY007009
2RY007010,2RY007010,2RY007010,2RY007010,2RY007010
2RY007011,2RY007011,2RY007011,2RY007011,2RY007011
2RY007012,2RY007012,2RY007012,2RY007012,2RY007012
2RY007013,2RY007013,2RY007013,2RY007013,2RY007013
2RY007014,2RY007014,2RY007014,2RY007014,2RY007014
2RY007015,2RY007015,2RY007015,2RY007015,2RY007015
2RY007016,2RY007016,2RY007016,2RY007016,2RY007016
2RY007017,2RY007017,2RY007017,2RY007017,2RY007017
2RY007018,2RY007018,2RY007018,2RY007018,2RY007018
2RY007019,2RY007019,2RY007019,2RY007019,2RY007019
2RY007020,2RY007020,2RY007020,2RY007020,2RY007020
2RY008001,2RY008001,2RY008001,2RY008001,2RY008001
2RY008002,2RY008002,2RY008002,2RY008002,2RY008002
2RY008003,2RY008003,2RY008003,2RY008003,2RY008003
2RY008004,2RY008004,2RY008004,2RY008004,2RY008004
2RY008005,2RY008005,2RY008005,2RY008005,2RY008005
2RY008006,2RY008006,2RY008006,2RY008006,2RY008006
2RY008007,2RY008007,2RY008007,2RY008007,2RY008007
2RY008008,2RY008008,2RY008008,2RY008008,2RY008008
2RY008009,2RY008009,2RY008009,2RY008009,2RY008009
2RY008010,2RY008010,2RY008010,2RY008010,2RY008010
2RY008011,2RY008011,2RY008011,2RY008011,2RY008011
2RY008012,2RY008012,2RY008012,2RY008012,2RY008012
2RY008013,2RY008013,2RY008013,2RY008013,2RY008013
2RY008014,2RY008014,2RY008014,2RY008014,2RY008014
2RY008015,2RY008015,2RY008015,2RY008015,2RY008015
2RY008016,2RY008016,2RY008016,2RY008016,2RY008016
2RY008017,2RY008017,2RY008017,2RY008017,2RY008017
2RY008018,2RY008018,2RY008018,2RY008018,2RY008018
2RY008019,2RY008019,2RY008019,2RY008019,2RY008019
2RY008020,2RY008020,2RY008020,2RY008020,2RY008020
2RY008021,2RY008021,2RY008021,2RY008021,2RY008021
2RY008022,2RY008022,2RY008022,2RY008022,2RY008022
2RY008023,2RY008023,2RY008023,2RY008023,2RY008023
2RY008024,2RY008024,2RY008024,2RY008024,2RY008024
2RY008025,2RY008025,2RY008025,2RY008025,2RY008025
2RY008026,2RY008026,2RY008026,2RY008026,2RY008026
2RY008027,2RY008027,2RY008027,2RY008027,2RY008027
2RY008028,2RY008028,2RY008028,2RY008028,2RY008028
2RY008029,2RY008029,2RY008029,2RY008029,2RY008029
2RY009001,2RY009001,2RY009001,2RY009001,2RY009001
2RY009002,2RY009002,2RY009002,2RY009002,2RY009002
2RY009003,2RY009003,2RY009003,2RY009003,2RY009003
2RY009004,2RY009004,2RY009004,2RY009004,2RY009004
2RY009005,2RY009005,2RY009005,2RY009005,2RY009005
2RY009006,2RY009006,2RY009006,2RY009006,2RY009006
2RY009007,2RY009007,2RY009007,2RY009007,2RY009007
2RY009008,2RY009008,2RY009008,2RY009008,2RY009008
2RY009009,2RY009009,2RY009009,2RY009009,2RY009009
2RY009010,2RY009010,2RY009010,2RY009010,2RY009010
2RY009011,2RY009011,2RY009011,2RY009011,2RY009011
2RY009012,2RY009012,2RY009012,2RY009012,2RY009012
2RY009013,2RY009013,2RY009013,2RY009013,2RY009013
2RY009014,2RY009014,2RY009014,2RY009014,2RY009014
2RY009015,2RY009015,2RY009015,2RY009015,2RY009015
2RY009016,2RY009016,2RY009016,2RY009016,2RY009016
2RY009017,2RY009017,2RY009017,2RY009017,2RY009017
2RY009018,2RY009018,2RY009018,2RY009018,2RY009018
2RY009019,2RY009019,2RY009019,2RY009019,2RY009019
2RY009020,2RY009020,2RY009020,2RY009020,2RY009020
2RY009021,2RY009021,2RY009021,2RY009021,2RY009021
